provider_name,country_name,foreign_university_name,foreign_city_name,foreign_course_code,course_name,instruction_language_name,department_name,umd_course_name,course_code,comments,combo_cats,combo_cat_ids,review_faculty,approval_date,syllabus_relative_path,id,s_id,is_active
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,ANIM2000,"2D Digital Animation",,ART,"2D Animation Principles & Digital Arts: Time-Based Media","2801 & 2030",,,,,2013-04-30,,65202,51646,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"GDES 1003","Creative Digital Imaging",,ART,"2D Digital Design",1013,,,,,2010-04-30,,65203,51647,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"ANIM 1003","Drawing for Animators & Illustrators",,ART,"Advanced Drawing",3700,,,,,2013-04-30,,65204,51648,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"FAPR 2001","Studio Practice 2",,ART,"Art BA, Studio Art BFA, Graphic Design and Art Education Major/Minor Elective Credit",3XXX,,,,,2013-04-30,,65205,51649,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,CDME2002,"Digital Sound Design",,TH,"Film Studies Minor Elective Credit",1XXX,,,,,2014-04-30,,65206,51650,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,DFPR2102,"Single Camera Drama",,TH,"Film Studies Minor Elective Credit",1XXX,,,,,2014-04-30,,65207,51651,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,CDME3026,"Creative Digital Media Negotiated Production 1",,TH,"Film Studies Minor Elective Credit",1XXX,,,,,2014-04-30,,65208,51652,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"CDME 1011","Crafting the Digital Image",,ART,"Digital Arts: Mixed Media Studio",2016,"2 Semester Module",,,,2013-04-30,,65209,51653,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"ILTN 1005","Image Making",,ART,"Digital Arts: Mixed-Media Studio",2016,,,,,2012-04-30,,65210,51654,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,CDME1003,"Introduction to Video Production",,ART,"Digital Arts: Visual Narrative & Digital Filmmaking","2040 & 3040",,,,,2013-04-30,,65211,51655,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"ARTD 1004",Drawing,,ART,"Drawing I",1010,,,,,2010-04-30,,65212,51656,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,ILTN1011,"Image Making",,ART,"Drawing I & Drawing II","1010 & 3700",,,,,2013-04-30,,65213,51657,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,ILTN1100,"Illustration: Origins and Function",,ART,"Drawing II (+ART 4700 Drawing III if 15 cr)",3700,,,,,2013-04-30,,65214,51658,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"WRIT 2003","Writing for Television",,TH,"Film Studies Minor Elective Credit",2XXX,,,,,2011-04-30,,65215,51659,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"GDES 1000","Graphic Design Practice and Theory",,ART,"Graphic Design I",2911,,,,,2010-04-30,,65216,51660,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"GDES 1014","Art 2911 Graphic Design I",,ART,"Graphic Design I",2911,,,,,2013-04-30,,65217,51661,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,ARTD2025,"Painting and Image Making",,ART,"Painting I and Painting II","2100 & 3100",,,,,2013-04-30,,65218,51662,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,ARTD2023,"Experimental Photographic Practice",,ART,"Photo: Alternative Process & Alternative Processes Portfolio","3600 & 4650",,,,,2013-04-30,,65219,51663,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"ANIM 1002","Introduction to Animation 2: Human Locomotion",,ART,"Studio Art BFA Elective Credit",2XXX,,,,,2010-04-30,,65220,51664,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"GDES 1001","Introduction to Multimedia",,ART,"Studio Art BFA Elective Credit",2XXX,,,,,2010-04-30,,65221,51665,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"ILTN 1001","Illustration: Origins and Function",,ART,"Studio Art BFA Elective Credit",2XXX,,,,,2010-04-30,,65222,51666,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"ILTN 1002","Image and Text: An Introduction to Illustration",,ART,"Studio Art BFA Elective Credit",2XXX,,,,,2010-04-30,,65223,51667,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"GDES 1010","Design: Skills and Theory",,ART,"Typography I & Graphic Design I","2907 & 2911",,,,,2013-04-30,,65224,51668,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"BIOS 2103","Animal Senses and Survival",,BIOL,"Biology BS and Biology BA & Cell and Molecular Biology BS elective credit",2XXX,,,,,2013-04-30,,65225,51669,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"BIOS 2302","Invertebrate Biology",,BIOL,"Biology BS and Biology BA elective credit",2XXX,,,,,2013-04-30,,65226,51670,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"BIOS 1210","Comparative Animal Physiology",,BIOL,"Biology Major/Minor Elective Credit",2XXX,,,,,2014-04-30,,65227,51671,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"ENVS 1100","Introduction to Ecology",,BIOL,Ecology,2801,,,,,2012-04-30,,65228,51672,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"BIOS 2054","Crime Scene Investigation",,FORS,"Foreign Studies (Non-Major/Minor General Elective) ",1XXX,,,,,2013-04-30,,65229,51673,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"BIOS 2040",Botany,,BIOL,"Plant Diversity",3601,,,,,2012-04-30,,65230,51674,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"BUSM 2057","The Business of Banking",,BUS,"Bus Major/Minor Group A Elective Credit",3XXX,,,,,2012-04-30,,65231,51675,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,BUSM1029,"Business Viability: Financial and Economic Perspectives",,ECON,"Economics and Society",1003,,,,,2013-04-30,,65232,51676,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"BIOS 1205","Introduction to Molecular Bioscience",,CHEM,"Introduction to General, Organic & Biochemistry II",1114,,,,,2013-04-30,,65233,51677,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"MECS 2017","Screening the Nation: Continuity and Change in British TV",,COMM,"Communication Major/Minor Elective Credit",3XXX,,,,,2014-04-30,,65234,51678,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"MECS 2004","Crime and the Media",,COMM,"Communication Major/Minor Elective Credit",3XXX,,,,,2014-04-30,,65235,51679,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"MECS 1015","Popular Music and Cultural Change",,COMM,"Communication Major/Minor Elective Credit",2XXX,,,,,2014-04-30,,65236,51680,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,MECS2011,"War, Democracy and the Media",,COMM,"Communication Major/Minor Elective Credit",3XXX,,,,,2014-04-30,,65237,51681,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"SOCP 2104","Domestic Abuse",,CRIM,"Criminology Major/Minor Elective Credit",2XXX,,,,,2013-04-30,,65238,51682,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"SOCP 2108","Safeguarding Children",,CRIM,"Criminology Major/Minor Elective Credit",2XXX,,,,,2013-04-30,,65239,51683,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,,"Contemporary British Society and Culture",,CST,"Cst Major/Minor Elective Credit",3XXX,,,,,2013-04-30,,65240,51684,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"MECS 2002","Popular Cultures",,CST,"Popular Culture",3715,,,,,2010-04-30,,65241,51685,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"BUSM 2002","Business Research",,ECON,"Econ Major/Minor Elective Credit",3XXX,,,,,2011-04-30,,65242,51686,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"BUSM 1062","Issues in Advertising",,ECON,"Econ Major/Minor Group A  Elective Credit ",3XXX,,,,,2011-04-30,,65243,51687,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,ECPP1106,"Play and Playfulness: The Child's Right to Play",,EDUC,"General Credit-not applicable to ECH major",1XXX,,,,,2013-04-30,,65244,51688,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,ELAN1000,"Describing English",,ENGL,"Elective Credit for Linguistics major/minor",2XXX,,,,,2013-04-30,,65245,51689,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"ENGL 1009","Power, Sex and Identity in Restoration Literature",,ENGL,"Engl Major/Minor Elective Credit",1XXX,,,,,2013-04-30,,65246,51690,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"ENGL 1010","Science Fiction: Alternative Worlds",,ENGL,"Engl Major/Minor Elective Credit",1XXX,,,,,2013-04-30,,65247,51691,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"ENGL 1112","Writing and Change in the Nineteenth Century",,ENGL,"Engl Major/Minor Elective Credit",2XXX,,,,,2010-04-30,,65248,51692,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"ENGL 2000","Theoretical Perspectives",,ENGL,"Engl Major/Minor Elective Credit",3XXX,,,,,2010-04-30,,65249,51693,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"MECS 2006","Gender and Popular Fiction ",,ENGL,"Engl Major/Minor Elective Credit: Lit. Lang. Cluster I ",2XXX,,,,,2013-04-30,,65250,51694,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"ELAN 1002","The History of the English",,ENGL,"History of English Language",5821,,,,,2010-04-30,,65251,51695,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"ENGL 2010","The Pre-Raphaelites: Word and Image",,ENGL,"Major/Minor Elective Credit: British Period UC Tract-Cluster I",3XXX,,,,,2013-04-30,,65252,51696,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"ENGL 2023","Enlightened Minds: Literature 1688-1760",,ENGL,"Major/Minor Elective Credit: British Period UC Tract-Cluster I",3XXX,,,,,2013-04-30,,65253,51697,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"ENVS 1010","Intro to Environmental Studies",,ES,"Introduction to Environmental Sustainability",1001,,,,,2012-04-30,,65254,51698,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"SPRT 1005","Introduction to Motor Learning & Skill Acquisition",,ESAT,"Motor Learning and Development",3200,,,,,2013-04-30,,65255,51699,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"SPRT 2001","Research Methods",,ESAT,"Statistics & Research Methods",4700,,,,,2013-04-30,,65256,51700,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"ENVS 1101","Current Environmental Issues",,ESCI,"ESci Major/Minor Elective Credit",2XXX,,,,,2012-04-30,,65257,51701,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"COME 2381",E-Business,,FMIS,"Management Information Systems major/minor elective credit",2XXX,,,,,2014-04-30,,65258,51702,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"COMP 3242",E-Business,,FMIS,"Management Information Systems major/minor elective credit",3XXX,,,,,2014-04-30,,65259,51703,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"COMP 3221","Information Security",,FMIS,"Management Information Systems major/minor elective credit",3XXX,,,,,2014-04-30,,65260,51704,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"BUSM 3271","Information Technology for Business Innovation",,FMIS,"Management Information Systems major/minor elective credit",3XXX,,,,,2014-04-30,,65261,51705,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"BUSM 2032","Operations Management",,FMIS,"Production & Operation Mgmt",3301,,,,,2011-04-30,,65262,51706,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"ARCH 2002","Historians and Heritage",,FORS,"General Elective Credit",3XXX,,,,,2013-04-30,,65263,51707,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"BIOS 1004","Physiology of Plants",,FORS,"Foreign Studies (Non-Major/Minor General Elective) ",1XXX,,,,,2012-04-30,,65264,51708,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"BIOS 1010","Human Anatomy and Physiology",,FORS,"Foreign Studies (Non-Major/Minor General Elective) ",2XXX,,,,,2012-04-30,,65265,51709,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"BIOS 1010","Introduction to Human Anatomy & Physiology",,FORS,"Foreign Studies (Non-Major/Minor General Elective) ",2XXX,,,,,2012-04-30,,65266,51710,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"BIOS 1100","Cell Biology",,FORS,"Foreign Studies (Non-Major/Minor General Elective) ",1XXX,,,,,2012-04-30,,65267,51711,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,BUSM1039,"Marketing and Management Perspectives",,FORS,"Foreign Studies (Non-Major/Minor General Elective) ",1XXX,,,,,2013-04-30,,65268,51712,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"CDME 1001","Communication Skills for Digital Media",,FORS,"Foreign Studies (Non-Major/Minor General Elective) ",2XXX,,,,,2010-04-30,,65269,51713,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"ECPP 3103","Developmental Psychology",,FORS,"Foreign Studies (Non-Major/Minor General Elective) ",2XXX,,,,,2014-04-30,,65270,51714,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"EDST 2031","The Global Dimension in Education",,FORS,"Foreign Studies (Non-Major/Minor General Elective) ",2XXX,,,,,2013-04-30,,65271,51715,1
"UMD - University of Minnesota Duluth",England,"University of Worcester",Worcester,"HIST 1108","TV History",,FORS,"Foreign Studies (Non-Major/Minor General Elective) ",1XXX,,,,,2014-04-30,,65272,51716,1
